Unnamed: 0,Price,NumBedrooms,NumBathrooms,Floor_Space,Frontyard_space_in_ft,Bathroom_Level,Bedroom_Level,Primary_Bedroom_Level,Number_Parking_Spaces
26,579000.0,4.0,2.0,1290.0,70.0,2,1,1,4.0
27,464900.0,3.0,2.0,1210.0,30.0,3,3,3,1.0
28,434900.0,4.0,2.0,1839.2842264150945,58.57068322981366,1,1,1,1.0
29,399900.0,3.0,2.0,1140.0,58.57068322981366,3,3,3,1.0
30,399000.0,4.0,1.0,949.885,30.0,2,2,2,2.0
31,1499900.0,6.0,5.0,2745.3,40.0,1,1,1,8.0
32,1499900.0,6.0,1.0,2745.3,40.0,1,1,1,8.0
33,999900.0,4.0,4.0,2238.8,69.88,2,3,3,4.0
34,769900.0,4.0,3.0,2346.0,36.75,3,3,3,6.0
35,620000.0,5.0,2.0,949.885,50.0,1,2,1,4.0
36,599900.0,3.0,2.0,1048.38,70.0,1,3,3,3.0
37,549900.0,3.0,2.0,1839.2842264150945,58.57068322981366,3,1,3,2.0
38,499900.0,1.0,1.0,1839.2842264150945,58.57068322981366,1,1,1,1.0
39,374400.0,1.0,1.0,949.885,58.57068322981366,2,2,1,1.0
40,1198800.0,4.0,4.0,2263.0,41.0,2,3,3,4.0
41,899900.0,4.0,3.0,2206.0,65.0,3,3,3,7.0
42,889900.0,3.0,3.0,1913.0,38.0,3,3,3,4.0
43,574000.0,5.0,3.0,2057.56,58.57068322981366,2,3,3,3.0
44,542000.0,3.0,3.0,1066.41,58.57068322981366,3,3,3,1.0
45,469900.0,3.0,1.0,949.885,35.0,2,2,3,4.0
46,1863299.9999999988,6.0,5.0,2745.3,70.0,3,3,3,10.0
47,1385000.0,5.0,5.0,2745.3,41.9,1,1,3,6.0
48,1175000.0,4.0,4.0,1839.2842264150945,58.57068322981366,1,1,3,8.0
49,845888.0,2.0,2.0,1839.2842264150945,58.57068322981366,1,2,1,3.0
50,839900.0,4.0,2.0,1205.32,58.23,2,3,3,4.0
51,799900.0,2.0,2.0,1660.0,58.57068322981366,2,2,2,2.0
