,Price,NumBedrooms,NumBathrooms,Floor_Space,Frontyard_space_in_ft,Bathroom_Level,Bedroom_Level,Primary_Bedroom_Level,Architectural Style,Number_Parking_Spaces
531,349000.0,1.0,1.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,0.0
532,290000.0,1.0,1.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,0.0
533,275000.0,2.0,1.0,810.0,0.0,2,2,2,12.0,3.0
534,129900.0,1.0,1.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,0.0
535,535500.0,2.0,1.0,786.06,46.6,2,2,-1,0.0,0.0
536,4500000.0,1.0,1.0,1839.2842264150943,45.0,-1,-1,-1,-1.0,0.0
537,2000000.0,1.0,1.0,1839.2842264150943,74.0,-1,-1,-1,-1.0,0.0
538,1599900.0,5.0,6.0,3300.0,50.0,4,0,4,3.0,0.0
539,1550000.0,6.0,5.0,2966.0,53.6,2,4,4,3.0,4.0
540,1000000.0,1.0,1.0,1839.2842264150943,47.12,-1,-1,-1,-1.0,0.0
541,929900.0,3.0,3.0,1999.0,40.12,4,4,4,3.0,0.0
542,726000.0,4.0,3.0,1839.2842264150943,58.57068322981366,4,-1,4,-1.0,2.0
543,1950000.0,0.0,1.0,1839.2842264150943,44.79,-1,-1,-1,-1.0,0.0
544,1089000.0,5.0,4.0,2314.0,40.0,2,6,4,3.0,0.0
545,1079000.0,4.0,4.0,1839.2842264150943,58.57068322981366,-1,3,3,-1.0,6.0
546,894900.0,4.0,3.0,1904.0,33.0,2,4,4,3.0,4.0
547,679900.0,4.0,4.0,1873.0,19.4,2,4,5,3.0,0.0
548,624900.0,5.0,2.0,2329.0,39.0,2,2,2,4.0,0.0
549,459900.0,3.0,2.0,1344.0,58.57068322981366,-1,5,5,6.0,0.0
550,179900.0,0.0,1.0,1839.2842264150943,32.89,-1,-1,-1,-1.0,0.0
551,1500000.0,0.0,1.0,1839.2842264150943,87.5,-1,-1,-1,-1.0,15.0
552,799900.0,0.0,1.0,1839.2842264150943,33.0,-1,-1,-1,-1.0,8.0
553,799000.0,4.0,3.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,3.0
554,379900.0,2.0,1.0,870.63,32.0,2,2,-1,0.0,0.0
555,2190000.0,5.0,5.0,3834.0,75.0,4,4,2,3.0,0.0
556,1999999.0,6.0,5.0,2725.0,148.0,2,2,2,0.0,12.0
557,1349999.0,7.0,5.0,1839.2842264150943,58.57068322981366,0,0,4,-1.0,4.0
558,429900.0,2.0,2.0,900.0,0.0,2,2,2,7.0,1.0
559,185000.0,1.0,1.0,502.0,12.0,1,1,-1,-1.0,2.0
560,185000.0,1.0,1.0,1839.2842264150943,58.57068322981366,2,2,-1,-1.0,2.0
561,1999999.0,6.0,5.0,3654.0,60.01,4,6,4,3.0,0.0
562,1689900.0,4.0,4.0,3516.0,53.34,2,4,4,3.0,0.0
563,1399990.0,4.0,3.0,1839.2842264150943,58.57068322981366,2,-1,4,-1.0,6.0
564,378300.0,2.0,2.0,1036.0,0.0,2,2,2,7.0,0.0
565,174999.0,1.0,1.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,0.0
566,1998000.0,6.0,6.0,3067.0,64.99,4,4,4,3.0,0.0
567,999900.0,5.0,3.0,1839.2842264150943,58.57068322981366,2,2,4,-1.0,4.0
568,559999.0,3.0,2.0,1839.2842264150943,58.57068322981366,-1,2,-1,-1.0,2.0
569,1.0,0.0,1.0,1839.2842264150943,119.0,-1,-1,-1,-1.0,0.0
570,695000.0,3.0,3.0,1629.0,22.0,-1,5,5,6.0,0.0
571,619900.0,3.0,2.0,903.0,40.14,2,6,2,1.0,0.0
572,574000.0,3.0,1.0,950.0,40.0,2,2,-1,0.0,0.0
573,474900.0,4.0,2.0,1839.2842264150943,58.57068322981366,2,2,-1,-1.0,6.0
574,399900.0,2.0,2.0,759.0,58.57068322981366,5,4,4,3.0,0.0
575,1750000.0,0.0,1.0,1095.0,138.0,-1,-1,-1,-1.0,3.0
576,1500000.0,6.0,1.0,1630.0,34.0,-1,-1,-1,-1.0,3.0
577,1399990.0,4.0,3.0,3190.0,77.0,4,4,4,3.0,0.0
578,999900.0,4.0,3.0,2400.0,47.74,2,4,4,3.0,4.0
579,979500.0,4.0,2.0,3223.0,25.0,2,2,2,1.0,0.0
580,529900.0,2.0,2.0,1366.0,0.0,2,2,2,7.0,1.0
581,425000.0,1.0,1.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,0.0
582,189900.0,2.0,1.0,600.0,0.0,2,2,2,12.0,2.0
583,159000.0,1.0,3.0,1839.2842264150943,18.0,-1,-1,-1,-1.0,0.0
584,1799000.0,12.0,1.0,17000.0,79.46,-1,-1,-1,-1.0,20.0
585,1599900.0,6.0,1.0,1794.0,66.99,-1,-1,-1,-1.0,7.0
586,1449000.0,4.0,3.0,3000.0,54.0,4,4,4,3.0,0.0
